city,state,gamma_per_day,severity_M,crim_excess,housing_gap,ssp_gap,vs_gap,idu_excess,viral_suppression_pct,late_dx_pct,linkage_to_care_pct,idu_prevalence_pct,structural_delay_h,Omega_star,correction_factor,incidence_deflation_pct,trial_sites
KansasCity,Missouri,0.00029,1.448,0.17,0.007,0.183,0.406,0.0,59.4,16.7,78.9,4.577,4.3,164.735233343173,1.05017,5.017000000000005,LEN_Impl|PURPOSE_2
Jackson,Mississippi,0.000315,1.574,0.0,0.267,0.28,0.482,0.0,51.8,14.3,76.2,3.2830000000000004,6.2,164.0595735399409,1.054495,5.449499999999996,PURPOSE_2
Milwaukee,Wisconsin,0.000315,1.577,0.0,0.14,0.183,0.267,0.124,73.3,14.6,88.5,5.6195,1.9,164.0595735399409,1.054495,5.449499999999996,
ElPaso,Texas,0.000334,1.672,0.27,0.1,0.28,0.384,0.0,61.6,17.7,82.3,3.3626,4.0,163.54976734336566,1.057782,5.7782,PURPOSE_2
Atlanta,Georgia,0.000359,1.793,0.44,0.12,0.198,0.346,0.0,65.4,19.4,77.9,2.9407999999999994,5.0,162.88377724654862,1.062107,6.210699999999991,LEN_Impl|PURPOSE_2
FortWorth,Texas,0.000365,1.823,0.5,0.093,0.198,0.325,0.0,67.5,20.0,76.1,4.977,5.5,162.72474591894803,1.063145,6.314500000000001,
SanAntonio,Texas,0.000366,1.828,0.49,0.067,0.238,0.355,0.0,64.5,19.9,74.2,4.2632,5.9,162.69827088415695,1.063318,6.3317999999999985,
Denver,Colorado,0.000368,1.838,0.58,0.0,0.143,0.432,0.0,56.8,20.8,85.3,4.0342,3.4,162.64534665082206,1.063664,6.366399999999994,
Dallas,Texas,0.000368,1.84,0.5,0.093,0.204,0.357,0.0,64.3,20.0,73.9,2.5299,6.1,162.64534665082206,1.063664,6.366399999999994,
Austin,Texas,0.000369,1.843,0.56,0.073,0.16,0.322,0.0,67.8,20.6,86.4,3.3694,3.0,162.61889744387534,1.063837,6.383699999999992,PURPOSE_2
Charlotte,"North
Carolina",0.000377,1.886,0.5,0.173,0.188,0.337,0.0,66.3,20.0,79.3,3.6025,4.7,162.40761306808633,1.065221,6.522099999999997,
LosAngeles,California,0.000377,1.885,0.4,0.273,0.212,0.348,0.0,65.2,19.0,79.9,3.274,4.8,162.40761306808633,1.065221,6.522099999999997,PURPOSE_2|PURPOSE_4
StLouis,Missouri,0.000377,1.885,0.54,0.107,0.173,0.39,0.0,61.0,20.4,83.6,3.2776,3.7,162.40761306808633,1.065221,6.522099999999997,
MiamiDadeCO,Florida,0.000385,1.924,0.32,0.387,0.222,0.403,0.0,59.7,18.2,78.4,3.5775,5.6,162.19687700695195,1.066605,6.6605000000000025,PURPOSE_2|PURPOSE_4
BrowardCO,Florida,0.000388,1.939,0.37,0.387,0.231,0.303,0.0,69.7,18.7,75.5,3.8604,6.5,162.1179919109682,1.067124,6.712399999999996,PURPOSE_2
Raleigh,"North
Carolina",0.00043,2.151,0.91,0.0,0.171,0.345,0.0,65.5,24.1,77.3,3.83,9.7,161.02160295609602,1.07439,7.438999999999996,
NewOrleans,Louisiana,0.000433,2.163,0.25,0.393,0.279,0.29,0.158,71.0,17.5,80.1,5.7879000000000005,5.5,160.9438566427484,1.074909,7.490899999999989,PURPOSE_2
Phoenix,Arizona,0.000436,2.181,0.52,0.033,0.191,0.464,0.167,53.6,20.2,81.3,5.837,3.9,160.86618536991784,1.075428,7.542800000000005,
Charleston,"South
Carolina",0.000439,2.196,0.78,0.193,0.214,0.331,0.0,66.9,22.8,73.4,4.1681,9.9,160.7885890290135,1.075947,7.594699999999999,
Houston,Texas,0.000439,2.197,0.71,0.22,0.238,0.422,0.0,57.8,22.1,75.2,4.44,8.6,160.7885890290135,1.075947,7.594699999999999,PURPOSE_2|PURPOSE_4
HamptonRoads,Virginia,0.000449,2.247,0.51,0.0,0.209,0.37,0.232,63.0,20.1,73.9,6.1592,5.9,160.53047434435365,1.077677,7.7677,
Orlando,Florida,0.000468,2.34,0.57,0.08,0.205,0.303,0.231,69.7,20.7,79.0,6.1561,5.4,160.04233258461892,1.080964,8.096400000000003,LEN_Impl|PURPOSE_2
Jacksonville,Florida,0.000471,2.355,0.48,0.1,0.227,0.338,0.262,66.2,19.8,72.6,6.3096000000000005,6.5,159.9655288155246,1.081483,8.148299999999997,PURPOSE_2
Tampa,Florida,0.000488,2.441,0.5,0.193,0.218,0.28,0.272,72.0,20.0,76.3,6.359999999999999,5.7,159.5316960893525,1.084424,8.442400000000006,
OrangeCO,California,0.000532,2.659,0.83,0.273,0.194,0.357,0.176,64.3,23.3,85.9,5.877599999999999,7.0,158.4196857979041,1.092036,9.203600000000002,
PalmBeachCO,Florida,0.000536,2.678,1.09,0.387,0.23,0.352,0.0,64.8,25.9,75.9,4.994400000000001,13.5,158.3193621834528,1.092728,9.272799999999993,
BatonRouge,Louisiana,0.000562,2.81,0.09,0.18,0.256,0.222,0.667,77.8,15.9,78.8,8.335799999999999,5.0,157.6703432109702,1.097226,9.722600000000003,
Richmond,Virginia,0.00057,2.851,0.69,0.073,0.193,0.348,0.424,65.2,21.9,75.8,7.119,7.8,157.4717142571067,1.09861,9.861000000000008,
Columbia,"South
Carolina",0.000591,2.957,1.34,0.113,0.209,0.28,0.145,72.0,28.4,89.0,5.722599999999999,11.7,156.95268647657548,1.102243,10.224300000000008,
NewYork,"New
York",0.000877,4.386,0.62,0.427,0.21,0.379,1.073,62.1,21.2,79.6,10.3672,6.8,150.2099900930868,1.151721,15.1721,
Bridgeport,Connecticut,0.001351,6.754,0.37,0.627,0.169,0.324,2.326,67.6,18.7,81.3,16.6284,5.5,140.22596644465574,1.233723,23.37229999999999,
SanJuan,"Puerto
Rico",0.001804,9.019,0.11,0.647,0.566,0.479,3.431,52.1,16.1,63.0,22.152700000000003,13.3,131.85051048249665,1.312092,31.209200000000003,
NewHaven,Connecticut,0.001865,9.324,1.33,0.187,0.169,0.249,3.322,75.1,28.3,90.0,21.6096,11.5,130.7985135845219,1.322645,32.264500000000005,PURPOSE_2
Hartford,Connecticut,0.002181,10.906,2.22,0.113,0.171,0.31,3.684,69.0,37.2,82.1,23.4212,24.4,125.60688819462243,1.377313,37.731300000000005,
